,,,,,,,درصد وزنی لایه میانی,درصد وزنی لایه میانی,درصد وزنی لایه میانی,درصد وزنی لایه درونی و بیرنی,درصد وزنی لایه درونی و بیرنی,درصد ترکیب,درصد ترکیب,
,"درپوش سوکت
(تعداد در کیسه)","درپوش لوله
(تعداد در کیسه)","اسپیسر
(تعداد در کیسه)","سیکل بلینگ
(ثانیه)",حفره بلینگ,"وزن یک متر لوله
(کیلو گرم)",مواد کامپاند 1050 RC,رطوبت گیر,مواد آسیابی جنرال سایلنت,مواد  مارون P.P,مواد نوید زر ZB332 - PP ,لایه میانی,لایه درونی و بیرنی,"وزن یک متر کاور به گرم
(رول صنعتی)"
سایز 50,700,500,100,28,3,0.68,91,1,8,94,6,76.5,23.5,128
سایز 75,350,250,35,34,2,1.235,91,1,8,94,6,77.2,22.8,182
سایز 110,150,120,30,32,2,2.31,91,1,8,94,6,77.4,22.6,173
سایز 125,110,90,50,42,1,2.9,91,1,8,94,6,80.8,19.2,138
سایز 160,65,50,110,60,1,5.38,91,1,8,94,6,84.6,15.4,140
,,,,,,,,,,,,,,
,,,,,,,,,,سرعت تولید لوله در بعضی مواقع ممکن است فرق کند,,,,
کد کالا,سایز اسمی,"متراژ اسمی
(نماد)",شرح,طول کاور برای هر متراژ اسمی به سانتیمتر,تعداد در هر بسته,تعداد اسپیسر در هر بسته,"تعداد سوکت
برای هر شاخه",تعداد درپوش لوله برای هر شاخه,طول برش واقعی لوله,سرعت تولید لوله (متر بر دقیقه),سقف دپو,,,
80005003,50,50×30 E,لوله 50 سی سانتی یکسر سوکت,64,10,2,1,1,0.37,3,1700,,,
80005005,50,50×50 E,لوله 50 نیم متری یکسر سوکت,80,10,2,1,1,0.57,3,2300,,,
80005010,50,50×100 E,لوله 50 یک متری یکسر سوکت,130,10,2,1,1,1.07,5,4000,,,
80005020,50,50×200 E,لوله 50 دو متری یکسر سوکت,231,10,3,1,1,2.07,5,2900,,,
80005030,50,50×300 E,لوله 50 سه متری یکسر سوکت,335,10,3,1,1,3.07,5,1980,,,
80205005,50,50×50 D,لوله 50 نیم متری دوسر سوکت,86,10,2,2,0,0.64,3,1600,,,
80205010,50,50×100 D,لوله 50 یک متری دوسر سوکت,136,10,2,2,0,1.14,5,1920,,,
80205020,50,50×200 D,لوله 50 دو متری دوسر سوکت,236,10,3,2,0,2.14,5,3150,,,
80205030,50,50×300 D,لوله 50 سه متری دوسر سوکت,337,10,3,2,0,3.14,5,1400,,,
80007503,75,75×30 E,لوله 75 سی سانتی یکسر سوکت,71,10,2,1,1,0.37,2.3,2200,,,
80007505,75,75×50 E,لوله 75 نیم متری یکسر سوکت,91,10,2,1,1,0.57,3,2040,,,
80007510,75,75×100 E,لوله 75 یک متری یکسر سوکت,138,10,2,1,1,1.07,4.5,2900,,,
80007520,75,75×200 E,لوله 75 دو متری یکسر سوکت,238,10,3,1,1,2.07,4.5,1800,,,
80007530,75,75×300 E,لوله 75 سه متری یکسر سوکت,331,10,3,1,1,3.07,4.5,1000,,,
80207505,75,75×50 D,لوله 75 نیم متری دوسر سوکت,96,10,2,2,0,0.64,4.5,3156,,,
80207510,75,75×100 D,لوله 75 یک متری دوسر سوکت,143,10,2,2,0,1.14,4.5,300,,,
80207520,75,75×200 D,لوله 75 دو متری دوسر سوکت,243,10,3,2,0,2.14,4.5,576,,,
80207530,75,75×300 D,لوله 75 سه متری دوسر سوکت,341,10,3,2,0,3.14,4.5,400,,,
80011003,110,110×30 E,لوله 110 سی سانتی یکسر سوکت,77,6,2,1,1,0.39,2.5,480,,,
80011005,110,110×50 E,لوله 110 نیم متری یکسر سوکت,91,6,2,1,1,0.59,2.5,640,,,
80011010,110,110×100 E,لوله 110 یک متری یکسر سوکت,147,6,2,1,1,1.09,3.2,120,,,
80011020,110,110×200 E,لوله 110 دو متری یکسر سوکت,247,6,5,1,1,2.09,3.2,150,,,
80011030,110,110×300 E,لوله 110 سه متری یکسر سوکت,345,6,5,1,1,3.09,3.2,156,,,
80211005,110,110×50 D,لوله 110 نیم متری دوسر سوکت,96,6,2,2,0,0.67,3.2,144,,,
80211010,110,110×100 D,لوله 110 یک متری دوسر سوکت,152,6,2,2,0,1.17,3.2,182,,,
80211020,110,110×200 D,لوله 110 دو متری دوسر سوکت,254,6,5,2,0,2.17,3.2,4000,,,
80211030,110,110×300 D,لوله 110 سه متری دوسر سوکت,351,6,5,2,0,3.17,3.2,6000,,,
80012503,125,125×30 E,لوله 125 سی سانتی یکسر سوکت,81,4,2,1,1,0.39,2,3820,,,
80012505,125,125×50 E,لوله 125 نیم متری یکسر سوکت,102,4,2,1,1,0.59,2,5220,,,
80012510,125,125×100 E,لوله 125 یک متری یکسر سوکت,153,4,2,1,1,1.09,2.5,2500,,,
80012520,125,125×200 E,لوله 125 دو متری یکسر سوکت,250,4,5,1,1,2.09,2.5,3900,,,
80012530,125,125×300 E,لوله 125 سه متری یکسر سوکت,351,4,5,1,1,3.09,2.5,2600,,,
80212505,125,125×50 D,لوله 125 نیم متری دوسر سوکت,110,4,2,2,0,0.67,2.5,1950,,,
80212510,125,125×100 D,لوله 125 یک متری دوسر سوکت,160,4,2,2,0,1.17,2.5,1680,,,
80212520,125,125×200 D,لوله 125 دو متری دوسر سوکت,259,4,5,2,0,2.18,2.5,2244,,,
80212530,125,125×300 D,لوله 125 سه متری دوسر سوکت,359,4,5,2,0,3.18,2.5,1440,,,
80016003,160,160×30 E,لوله 160 سی سانتی یکسر سوکت,63,2,2,1,1,0.4,1.2,2790,,,
80016005,160,160×50 E,لوله 160 نیم متری یکسر سوکت,90,2,2,1,1,0.6,1.5,576,,,
80016010,160,160×100 E,لوله 160 یک متری یکسر سوکت,132,2,2,1,1,1.1,1.5,400,,,
80016020,160,160×200 E,لوله 160 دو متری یکسر سوکت,234,2,5,1,1,2.1,1.5,576,,,
80016030,160,160×300 E,لوله 160 سه متری یکسر سوکت,333,2,5,1,1,3.1,1.5,480,,,
80216005,160,160×50 D,لوله 160 نیم متری دوسر سوکت,96,2,2,2,0,0.69,1.5,162,,,
80216010,160,160×100 D,لوله 160 یک متری دوسر سوکت,175,2,2,2,0,1.19,1.5,150,,,
80216020,160,160×200 D,لوله 160 دو متری دوسر سوکت,275,2,5,2,0,2.2,1.5,144,,,
80216030,160,160×300 D,لوله 160 سه متری دوسر سوکت,375,2,5,2,0,3.2,1.5,192,,,
