,"درپوش سوکت
(تعداد در کیسه)","درپوش لوله
(تعداد در کیسه)","اسپیسر
(تعداد در کیسه)","سیکل بلینگ
(ثانیه)",حفره بلینگ,"وزن یک متر لوله
(کیلو گرم)",ZB332,PNR230,آسیابی,ضد آتش,"وزن یک متر کاور به گرم
(رول صنعتی)"
سایز 40,800,600,120,26,3,0.129,17.7,70.82,7.98,3.5,129
سایز 50,700,500,100,28,3,0.29,17.7,70.82,7.98,3.5,120
سایز 75,350,250,35,32,2,0.465,17.7,70.82,7.98,3.5,165
سایز 110,150,120,30,30,2,0.945,17.7,70.82,7.98,3.5,164
سایز 125,110,90,50,42,1,1.2,17.7,70.82,7.98,3.5,152
سایز 160,65,50,110,60,1,1.9,17.7,70.82,7.98,3.5,132
سایز 200,36,36,0,95,1,2.925,19.32,77.29,0,3.38,160
,,,,,,,,,,,
کد کالا,سایز اسمی,"متراژ اسمی
(نماد)",شرح,طول کاور برای هر متراژ اسمی به سانتیمتر,تعداد در هر بسته,تعداد اسپیسر در هر بسته,"تعداد سوکت
برای هر شاخه",تعداد درپوش لوله برای هر شاخه,طول برش واقعی لوله,سرعت تولید لوله (متر بر دقیقه),سرعت تولید لوله در بعضی مواقع ممکن است فرق کند
70004003,40,40×30 E,لوله 40 سی سانتی یکسر سوکت,62,18,1,1,1,0.37,3,
70004005,40,40×50 E,لوله 40 نیم متری یکسر سوکت,88,18,2,1,1,0.57,3,
70004010,40,40×100 E,لوله 40 یک متری یکسر سوکت,138,18,2,1,1,1.07,3.5,
70004020,40,40×200 E,لوله 40 دو متری یکسر سوکت,239,18,3,1,1,2.07,3.5,
70004030,40,40×300 E,لوله 40 سه متری یکسر سوکت,339,18,3,1,1,3.07,3.5,
70204005,40,40×50 D,لوله 40 نیم متری دوسر سوکت,86,18,2,2,0,0.64,3.5,
70204010,40,40×100 D,لوله 40 یک متری دوسر سوکت,136,18,2,2,0,1.14,3.5,
