,,,,,,,درصد وزنی لایه میانی,درصد وزنی لایه میانی,درصد وزنی لایه میانی,درصد وزنی لایه میانی,درصد وزنی لایه درونی و بیرنی,درصد وزنی لایه درونی و بیرنی,درصد ترکیب در لوله,درصد ترکیب در لوله,
,"درپوش سوکت
(تعداد در کیسه)","درپوش لوله
(تعداد در کیسه)","اسپیسر
(تعداد در کیسه)","سیکل بلینگ
(ثانیه)",حفره بلینگ,"وزن یک متر لوله
(کیلو گرم)",مواد  سا یلنت ا یرانی خط لوله,مواد کامپاند 1050 RC,مواد رطوبت گیر,مواد  آسیابی سایلنت 10,مواد نوید زر ZB332 - PP ,رنگ کرم سایلنت,لایه میانی,لایه درونی و بیرنی,"وزن یک متر کاور به گرم
(رول صنعتی)"
سایز 50,700,500,100,29,3,0.68,77.5,15,2.5,5,98.5,1.5,0.765,0.235,120
سایز 75,350,250,35,43,2,1.235,77.5,15,2.5,5,98.5,1.5,0.772,0.228,165
سایز 110,150,120,30,53,2,2.31,77.5,15,2.5,5,98.5,1.5,0.774,0.226,164
سایز 125,110,90,50,63,1,2.9,77.5,15,2.5,5,98.5,1.5,0.808,0.192,152
سایز 160,65,50,110,128,1,5.38,77.5,15,2.5,5,98.5,1.5,0.846,0.154,132
,,,,,,,,,,,,,,,
کد کالا,سایز اسمی,"متراژ اسمی
(نماد)",شرح,طول کاور برای هر متراژ اسمی به سانتیمتر,تعداد در هر بسته,تعداد اسپیسر در هر بسته,"تعداد سوکت
برای هر شاخه",تعداد درپوش لوله برای هر شاخه,طول برش واقعی لوله,سرعت تولید لوله (متر بر دقیقه),سرعت تولید لوله در بعضی مواقع ممکن است فرق کند,,,,
90005003,50,50×30 E,لوله 50 سی سانتی یکسر سوکت,64,10,1,1,1,0.37,3,,,,,
90005005,50,50×50 E,لوله 50 نیم متری یکسر سوکت,80,10,2,1,1,0.57,3,,,,,
90005010,50,50×100 E,لوله 50 یک متری یکسر سوکت,130,10,2,1,1,1.07,4,,,,,
90005020,50,50×200 E,لوله 50 دو متری یکسر سوکت,231,10,3,1,1,2.07,4,,,,,
90005030,50,50×300 E,لوله 50 سه متری یکسر سوکت,335,10,3,1,1,3.07,4,,,,,
90205005,50,50×50 D,لوله 50 نیم متری دوسر سوکت,86,10,2,2,0,0.64,4,,,,,
90205010,50,50×100 D,لوله 50 یک متری دوسر سوکت,136,10,2,2,0,1.14,4,,,,,
90205020,50,50×200 D,لوله 50 دو متری دوسر سوکت,236,10,3,2,0,2.14,4,,,,,
90205030,50,50×300 D,لوله 50 سه متری دوسر سوکت,337,10,3,2,0,3.14,4,,,,,
90007503,75,75×30 E,لوله 75 سی سانتی یکسر سوکت,71,10,1,1,1,0.37,3,,,,,
90007505,75,75×50 E,لوله 75 نیم متری یکسر سوکت,91,10,2,1,1,0.57,3,,,,,
90007510,75,75×100 E,لوله 75 یک متری یکسر سوکت,138,10,2,1,1,1.07,3,,,,,
90007520,75,75×200 E,لوله 75 دو متری یکسر سوکت,238,10,3,1,1,2.07,3,,,,,
90007530,75,75×300 E,لوله 75 سه متری یکسر سوکت,331,10,3,1,1,3.07,3,,,,,
90207505,75,75×50 D,لوله 75 نیم متری دوسر سوکت,96,10,2,2,0,0.64,3,,,,,
90207510,75,75×100 D,لوله 75 یک متری دوسر سوکت,143,10,2,2,0,1.14,3,,,,,
90207520,75,75×200 D,لوله 75 دو متری دوسر سوکت,243,10,3,2,0,2.14,3,,,,,
90207530,75,75×300 D,لوله 75 سه متری دوسر سوکت,341,10,3,2,0,3.14,3,,,,,
90011003,110,110×30 E,لوله 110 سی سانتی یکسر سوکت,77,6,1,1,1,0.39,1.8,,,,,
